Compound  SmmetryNum  SymetGroup
Li3N1  194  (P63/mmc)
Li3N1  191  (P6/mmm)
Li3N1  221  (Pm-3m)
Li3P1  194  (P63/mmc)
Li3P7  19  (P212121)
Li4N1  51  (Pmma)
Mo1O2  62  (Pnma)
Mo1O2  136  (P42/mnm)
Mo1O3  11  (P21/m)
Mo1O3  14  (P21/c)
Mo1O3  62  (Pnma)
Mo1P2  36  (Cmc21)
Mo1S2  160  (R3m)
Mo1S2  194  (P63/mmc)
N1Na3  185  (P63cm)
N1Na3  225  (Fm-3m)
N1Nb1  216  (F-43m)
N1Os1  36  (Cmc21)
N1Rh1  216  (F-43m)
N1Sc1  216  (F-43m)
N1Sc1  186  (P63mc)
N1Sc1  225  (Fm-3m)
N1Sr1  12  (C2/m)
N1Ta1  216  (F-43m)
N1Tc1  216  (F-43m)
N1Tc1  186  (P63mc)
N18W1  147  (P-3)
N2Os1  205  (Pa-3)
N2Pd1  58  (Pnnm)
N2Pd1  205  (Pa-3)
N2Pt1  58  (Pnnm)
Nb1S2  36  (Cmc21)
Nb1S3  2  (P-1)
Nb2O3  12  (C2/m)
Nb2O5  139  (I4/mmm)
Nb2O5  12  (C2/m)
Nb2O5  5  (C2)
Nb2O5  15  (C2/c)
Nb3P1  82  (I-4)
Ni1O2  166  (R-3m)
Ni1O2  12  (C2/m)
Ni1P1  61  (Pbca)
Ni1P2  205  (Pa-3)
Ni1P2  15  (C2/c)
Ni3S2  155  (R32)
Ni3S4  227  (Fd-3m)
Ni5P4  186  (P63mc)
Ni8P3  161  (R3c)
Np2O5  13  (P2/c)
O1Pb1  29  (Pca21)
O1Pb1  67  (Cmme)
O1Pb1  57  (Pbcm)
O1Pb1  129  (P4/nmm)
O1Rb2  225  (Fm-3m)
O1Sn1  31  (Pmn21)
O1Sn1  129  (P4/nmm)
O2Si1  6  (Pm)
O2Si1  3  (P2)
O2Si1  139  (I4/mmm)
O2Si1  205  (Pa-3)
O2Si1  198  (P213)
O2Si1  122  (I-42d)
O2Si1  20  (C2221)
O2Si1  18  (P21212)
O2Si1  87  (I4/m)
O2Si1  1  (P1)
O2Si1  126  (P4/nnc)
O2Si1  167  (R-3c)
O2Si1  166  (R-3m)
O2Si1  230  (Ia-3d)
O2Si1  206  (Ia-3)
O2Si1  56  (Pccn)
O2Si1  70  (Fddd)
O2Si1  95  (P4322)
O2Si1  54  (Pcca)
O2Si1  163  (P-31c)
O2Si1  8  (Cm)
O2Si1  227  (Fd-3m)
O2Si1  195  (P23)
O2Si1  63  (Cmcm)
O2Si1  140  (I4/mcm)
O2Te1  62  (Pnma)
O2Te1  11  (P21/m)
O2Te1  63  (Cmcm)
O2Te1  2  (P-1)
O2Te1  136  (P42/mnm)
O2Te1  96  (P43212)
O2Te1  92  (P41212)
O2Th1  62  (Pnma)
O2Th1  225  (Fm-3m)
O2Ti1  152  (P3121)
O2Ti1  12  (C2/m)
O2Ti1  225  (Fm-3m)
O2Ti1  205  (Pa-3)
O2Ti1  61  (Pbca)
O2Ti1  62  (Pnma)
O2Ti1  189  (P-62m)
O2Ti1  14  (P21/c)
O2Ti1  13  (P2/c)
O2Ti1  60  (Pbcn)
O2Ti1  136  (P42/mnm)
O2Ti1  141  (I41/amd)
O2Zn1  205  (Pa-3)
O2Zn1  140  (I4/mcm)
O2Zr1  29  (Pca21)
O2Zr1  61  (Pbca)
O7Tc2  61  (Pbca)
O7Ti4  2  (P-1)
O8Si4  12  (C2/m)
O9Te4  148  (R-3)
O9Ti5  2  (P-1)
O9Ti5  1  (P1)
Os1P2  58  (Pnnm)
Os1P4  14  (P21/c)
Os1P4  2  (P-1)
Os1S2  205  (Pa-3)
P1Pd6  14  (P21/c)
P1Sc1  216  (F-43m)
P1Sc1  225  (Fm-3m)
P1Si1  36  (Cmc21)
P1Sr1  189  (P-62m)
P1Ta1  109  (I41md)
P1Tc3  82  (I-4)
P1Zr3  86  (P42/n)
P2Pd1  15  (C2/c)
P2Pt1  205  (Pa-3)
P2Rh1  14  (P21/c)
P2Ru1  58  (Pnnm)
P2Se5  14  (P21/c)
P2Si1  55  (Pbam)
P2Si1  205  (Pa-3)
Rb2S1  62  (Pnma)
Rb2S2  71  (Immm)
Rb2S2  189  (P-62m)
Rb2S3  36  (Cmc21)
Rb2S5  19  (P212121)
Re1S2  2  (P-1)
Rh2S3  60  (Pbcn)
Ru1S2  205  (Pa-3)
S1Sn1  39  (Aem2)
S1Sn1  63  (Cmcm)
S1Sn1  62  (Pnma)
S1Sn1  216  (F-43m)
S1Sr1  221  (Pm-3m)
S1Sr1  225  (Fm-3m)
S1Tl1  166  (R-3m)
S1Tl1  140  (I4/mcm)
S1Tl2  146  (R3)
S1Zn1  160  (R3m)
S1Zn1  156  (P3m1)
S1Zn1  225  (Fm-3m)
S1Zn1  186  (P63mc)
S1Zn1  216  (F-43m)
S1Zr1  129  (P4/nmm)
S2Si1  72  (Ibam)
S2Si1  14  (P21/c)
Ag1Br1  225  (Fm-3m)
Ag1Cl1  11  (P21/m)
Ag1Cl1  63  (Cmcm)
Ag1Cl1  221  (Pm-3m)
Ag1Cl1  216  (F-43m)
Ag1Cl1  225  (Fm-3m)
Ag1P15  2  (P-1)
Ag1Sr1  62  (Pnma)
Ag1Te1  62  (Pnma)
Ag2Ba1  74  (Imma)
Ag2Se1  17  (P2221)
Ag2Se1  19  (P212121)
Ag2Sr1  74  (Imma)
Ag3P11  8  (Cm)
Ag3Sb1  25  (Pmm2)
Al1As1  194  (P63/mmc)
Al1As1  186  (P63mc)
Al1As1  216  (F-43m)
Al1Br3  14  (P21/c)
Al1Cl3  12  (C2/m)
Al1Er1  57  (Pbcm)
Al1Li1  64  (Cmce)
Al1Li1  141  (I41/amd)
Al1Li1  227  (Fd-3m)
Al1Sb1  186  (P63mc)
As1Nb1  109  (I41md)
As1Pd2  36  (Cmc21)
As1Pd5  5  (C2)
As1Rb1  19  (P212121)
As1Rb3  194  (P63/mmc)
As1Si1  12  (C2/m)
As1Ta1  109  (I41md)
As1Ta1  186  (P63mc)
As1Zn1  61  (Pbca)
As1Zr3  86  (P42/n)
As11K3  60  (Pbcn)
As2B12  166  (R-3m)
As2Ba1  7  (Pc)
As2Cd1  98  (I4122)
As2Co1  14  (P21/c)
As2Cr1  12  (C2/m)
As2Fe1  44  (Imm2)
As2Fe1  58  (Pnnm)
As2Ge1  55  (Pbam)
As2Ir1  14  (P21/c)
As2La1  9  (Cc)
As2La1  14  (P21/c)
As2Mg3  164  (P-3m1)
As2Mg3  206  (Ia-3)
As2Mn3  36  (Cmc21)
Au1Te2  28  (Pma2)
Au1Tm1  63  (Cmcm)
Au2Br6  14  (P21/c)
Au2Ga1  36  (Cmc21)
Au2Sr1  74  (Imma)
Au2Sr3  148  (R-3)
Au3Li5  155  (R32)
Au3Zn1  64  (Cmce)
Au4Cl8  2  (P-1)
B10F12  88  (I41/a)
B11Li1  160  (R3m)
B11Li1  119  (I-4m2)
B12Si3  166  (R-3m)
B15Na1  74  (Imma)
Ba1Br2  14  (P21/c)
Ba1Br2  62  (Pnma)
Ba1Cl2  189  (P-62m)
Ba1Cl2  225  (Fm-3m)
Ba1Cl2  14  (P21/c)
Ba1Cl2  62  (Pnma)
Ba1Ge2  141  (I41/amd)
Ba1Ge2  62  (Pnma)
Ba1Ge3  38  (Amm2)
Ba1P10  36  (Cmc21)
Ba1Pd1  63  (Cmcm)
Bi1Sb7  6  (Pm)
Bi1Se2  12  (C2/m)
Bi2Ir1  14  (P21/c)
Bi2Pt1  157  (P31m)
Bi2Se3  62  (Pnma)
Bi2Te3  160  (R3m)
Bi2Zr1  58  (Pnnm)
Bi3Pd8  146  (R3)
Bi3Sb1  160  (R3m)
Bi4Th3  220  (I-43d)
Bi7Sb1  8  (Cm)
Br1Cl1  36  (Cmc21)
Br1Cs1  221  (Pm-3m)
Br1Cs1  225  (Fm-3m)
Br1Cs1  216  (F-43m)
Br1Cu1  129  (P4/nmm)
Br1Cu1  205  (Pa-3)
Br1Cu1  225  (Fm-3m)
Br1Cu1  216  (F-43m)
Br1Hg1  139  (I4/mmm)
Br1In1  63  (Cmcm)
Br1Li1  225  (Fm-3m)
Br1Na1  221  (Pm-3m)
Br1Na1  225  (Fm-3m)
Br1Na1  216  (F-43m)
Br4Ge1  14  (P21/c)
Br4In2  52  (Pnna)
Br4Nb1  12  (C2/m)
Br4Os1  61  (Pbca)
Br4Si1  205  (Pa-3)
Br4Si1  14  (P21/c)
Br4Sn1  14  (P21/c)
Br4Th1  88  (I41/a)
Br4Th1  141  (I41/amd)
Br4Ti1  14  (P21/c)
Br4Ti1  205  (Pa-3)
Br4Tl2  52  (Pnna)
Br5Nb1  55  (Pbam)
Br5Nb1  62  (Pnma)
Br5Nb1  2  (P-1)
Br5Pa1  14  (P21/c)
Br5Ta1  62  (Pnma)
Br6Si2  12  (C2/m)
Br7In4  15  (C2/c)
Br7In4  166  (R-3m)
Br8Nb3  166  (R-3m)
C1Fe12  6  (Pm)
C1Fe12  25  (Pmm2)
C1Fe12  1  (P1)
C10H16  114  (P-421c)
Ce1Rh2  227  (Fd-3m)
Ce1Sb2  64  (Cmce)
Ce1Se2  7  (Pc)
Ce1Si2  141  (I41/amd)
Ce1Te3  63  (Cmcm)
Ce1Zn1  221  (Pm-3m)
Ce1Zn2  74  (Imma)
Ce2Ir7  166  (R-3m)
Ce2Te5  63  (Cmcm)
Ce5Ir4  62  (Pnma)
Ce5Sn4  62  (Pnma)
Cl1Cs1  221  (Pm-3m)
Cl1Cs1  225  (Fm-3m)
Cl1Cs1  216  (F-43m)
Cl1Cu1  205  (Pa-3)
Cl1Cu1  225  (Fm-3m)
Cl1Cu1  216  (F-43m)
Cl1In1  40  (Ama2)
Cl1In1  36  (Cmc21)
Cl1In1  63  (Cmcm)
Cl1Li1  225  (Fm-3m)
Cl1Na1  221  (Pm-3m)
Cl1Na1  225  (Fm-3m)
Cl1Na1  216  (F-43m)
Cl1Na2  65  (Cmmm)
Cl3La1  176  (P63/m)
