Compound  SmmetryNum  SymetGroup
Al1Pt3  127  (P4/mbm)
Al1Sc1  221  (Pm-3m)
Al1Sc1  63  (Cmcm)
Al1Sc1  55  (Pbam)
Al1Tb1  57  (Pbcm)
Al1Tm1  57  (Pbcm)
Al12W1  204  (Im-3)
Al2Ba1  227  (Fd-3m)
Al2Ce1  227  (Fd-3m)
Al2Er1  227  (Fd-3m)
Al2Hf1  194  (P63/mmc)
Al2Hf3  136  (P42/mnm)
Al2Lu3  136  (P42/mnm)
Al2Mg1  141  (I41/amd)
Al2Pu1  227  (Fd-3m)
Al2Sr1  227  (Fd-3m)
Al2Th1  227  (Fd-3m)
Al2Th1  191  (P6/mmm)
Al2Ti1  65  (Cmmm)
Al2Ti1  141  (I41/amd)
Al2Yb1  227  (Fd-3m)
Al2Zr1  194  (P63/mmc)
Al2Zr1  194  (P63/mmc)
Al2Zr3  136  (P42/mnm)
Al3Hf1  139  (I4/mmm)
Al3Hf1  139  (I4/mmm)
Al3Sc1  139  (I4/mmm)
Al3Tb1  166  (R-3m)
Al3Tb1  166  (R-3m)
Al3Zr1  139  (I4/mmm)
Al4Cu9  215  (P-43m)
Al4Nd1  139  (I4/mmm)
Al4Ni3  230  (Ia-3d)
Al6Fe1  63  (Cmcm)
Al6Ru1  63  (Cmcm)
Am1As1  225  (Fm-3m)
Am1Bi1  225  (Fm-3m)
Am1Os2  194  (P63/mmc)
Am1Sb1  225  (Fm-3m)
Ar1Mg2  194  (P63/mmc)
As1Ba2  139  (I4/mmm)
As1Co1  194  (P63/mmc)
As1Co1  62  (Pnma)
As1Cu3  165  (P-3c1)
As1Cu3  220  (I-43d)
As1Eu1  189  (P-62m)
As1Hf3  15  (C2/c)
As1In1  63  (Cmcm)
As1La1  225  (Fm-3m)
As1Mn1  194  (P63/mmc)
As1Mn1  62  (Pnma)
As1Mn3  63  (Cmcm)
As1Na1  123  (P4/mmm)
As1Pa1  225  (Fm-3m)
As1Pd3  82  (I-4)
As1Pd5  12  (C2/m)
As1Pr1  225  (Fm-3m)
As1Rh1  62  (Pnma)
As1Rh1  62  (Pnma)
As1Sc1  225  (Fm-3m)
As1Sr2  139  (I4/mmm)
As1Ta1  194  (P63/mmc)
As1Ta1  14  (P21/c)
As1Ta3  15  (C2/c)
As2Ce1  14  (P21/c)
As2Eu2  189  (P-62m)
As2Fe1  71  (Immm)
As2Hf1  62  (Pnma)
As2Hf3  62  (Pnma)
As2Nb1  12  (C2/m)
As2Nd1  14  (P21/c)
As2Ni1  58  (Pnnm)
As2Sc3  83  (P4/m)
As2Ta1  12  (C2/m)
As2Te3  166  (R-3m)
As2Te3  15  (C2/c)
As2Zr1  62  (Pnma)
As2Zr3  62  (Pnma)
As3Ca1  2  (P-1)
As3Co1  204  (Im-3)
As3Eu1  12  (C2/m)
As3Eu1  2  (P-1)
As3Eu1  12  (C2/m)
As3Mn4  12  (C2/m)
As3Mo2  12  (C2/m)
As3Nb4  63  (Cmcm)
As3Sc5  62  (Pnma)
As3Sr1  12  (C2/m)
As3Sr1  2  (P-1)
As3Tc2  2  (P-1)
As4Cu3  71  (Immm)
As4Hf7  12  (C2/m)
As4Mo5  87  (I4/m)
As4Mo5  87  (I4/m)
As4Nb7  12  (C2/m)
As4Zr7  12  (C2/m)
As7Re3  229  (Im-3m)
Au1Cu1  74  (Imma)
Au1Cu3  221  (Pm-3m)
Au1Eu1  62  (Pnma)
Au1Eu3  62  (Pnma)
Au1Ga1  62  (Pnma)
Au1Ga2  14  (P21/c)
Au1La1  63  (Cmcm)
Au1La1  62  (Pnma)
Au1Pb3  121  (I-42m)
Au1Pr1  221  (Pm-3m)
Au1Sn2  61  (Pbca)
Au1Tb1  63  (Cmcm)
Au2Be1  139  (I4/mmm)
Au2Ca1  74  (Imma)
Au2Ca5  15  (C2/c)
Au2Ce1  74  (Imma)
Au2Gd1  139  (I4/mmm)
Au2Pb1  60  (Pbcn)
Au2Yb1  139  (I4/mmm)
Au2Zr1  139  (I4/mmm)
Au3Ho1  59  (Pmmn)
Au3In1  59  (Pmmn)
Au3Lu1  59  (Pmmn)
Au3Mg1  63  (Cmcm)
Au3Tb1  59  (Pmmn)
Au3Tm1  59  (Pmmn)
Au3Zn1  142  (I41/acd)
Au3Zn1  64  (Cmce)
Au4Ca5  14  (P21/c)
Au4Cr1  87  (I4/m)
Au4Er1  87  (I4/m)
Au4Hf1  62  (Pnma)
Au4Th3  148  (R-3)
Au4Ti1  87  (I4/m)
Au4Yb1  87  (I4/m)
Au4Zr1  62  (Pnma)
Au5Li3  65  (Cmmm)
Au6Ce1  15  (C2/c)
Au6Nd1  15  (C2/c)
Au7Rb3  65  (Cmmm)
Au9In4  215  (P-43m)
B12Pu1  225  (Fm-3m)
B12Th1  225  (Fm-3m)
Ba1Cd2  74  (Imma)
Ba1Cd2  74  (Imma)
Ba1Cu1  194  (P63/mmc)
Ba1Ga2  191  (P6/mmm)
Ba1Ge1  63  (Cmcm)
Ba1Ge5  74  (Imma)
Ba1Ge6  63  (Cmcm)
Ba1Hg2  74  (Imma)
Ba1Hg6  62  (Pnma)
Ba1In1  63  (Cmcm)
Ba1In2  74  (Imma)
